resolution,recommendedAction,excelStrId,excelHotelName,censusHotelName,excelCity,censusCity,excelCountry,censusCountry,excelStrMarket,excelStrSubmarket,recordId,sourceFile,rowNumber,nameEquivalent,locationEquivalent
LOCATION_MISMATCH,Manual: city/country differ — confirm which is correct before apply,163187,Grand Decameron Panama A Trademark All Inclusive Resort,"Grand Decameron Panama, A Trademark All Inclusive Resort",Anton,Farallon,Panama,Panama,Panama Provincial,Panama Regional,recse2DC4EFr6q0EI,"Existing - Caribbean, South and Central America.xls",31,yes,no
NAME_AND_LOCATION,Manual: name and location both differ,137757,Playa Blanca Hotel & Resort,Hotel Playa Blanca Beach Resort,Anton,Rio Hato,Panama,Panama,Panama Provincial,Panama Regional,rec2Vf1LfMfA7Ajez,"Existing - Caribbean, South and Central America.xls",35,no,no
LOCATION_MISMATCH,Manual: city/country differ — confirm which is correct before apply,196810,The Buenaventura Golf & Beach Resort Panama Autograph Collection,"The Buenaventura Golf & Beach Resort Panama, Autograph Collection",Anton,Riviera Pacifica,Panama,Panama,Panama Provincial,Panama Regional,rec4O3foMjAVGrp7r,"Existing - Caribbean, South and Central America.xls",36,yes,no
NAME_AND_LOCATION,Manual: name and location both differ,133492,Crystal Cove Barbados A Tribute Portfolio All-Inclusive Resort,Crystal Cove by Elegant Hotels - All Inclusive,Appleby,St James,Barbados,Barbados,Barbados,Barbados,reclp8HjjAigR49b7,"Existing - Caribbean, South and Central America.xls",38,no,no
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,224608,SKY Collection Barranquilla,GHL Collection Hotel Barranquilla,Barranquilla,Barranquilla,Colombia,Colombia,Colombia Provincial,Barranquilla,recEztdYLDwzgb5cv,"Existing - Caribbean, South and Central America.xls",110,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,236159,Hotel Cassino Tower Savassi by Nacional Inn,Tryp by Wyndham Belo Horizonte Savassi,Belo Horizonte,Belo Horizonte,Brazil,Brazil,Brazil Southeast,Belo Horizonte,recC6wlBzA06gYCgm,"Existing - Caribbean, South and Central America.xls",166,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,217515,Transamerica Executive Belo Horizonte,Go Inn Del Rey Belo Horizonte,Belo Horizonte,Belo Horizonte,Brazil,Brazil,Brazil Southeast,Belo Horizonte,reczQAkvz4xS8cx1L,"Existing - Caribbean, South and Central America.xls",186,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,311867,Paraiso Caribeno,La Casa Corazon,Bocas del Toro,Bocas del Toro,Panama,Panama,Panama Provincial,Bocas del Toro,recUos0waakyBIW56,"Existing - Caribbean, South and Central America.xls",205,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,232016,Hotel Morrison Usaquen,Hotel Morrison 114,Bogota,Bogota,Colombia,Colombia,Bogota,Bogota North,recFb3bTj0A8FfkRK,"Existing - Caribbean, South and Central America.xls",272,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,293300,Ibis Styles Bonito,Promenade Bonito All Suites,Bonito,Bonito,Brazil,Brazil,Brazil Central & West,Brazil Central & West Regional,rece3eGz2q0iESQju,"Existing - Caribbean, South and Central America.xls",307,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,235632,Lerida Coffee Estate,Hotel Boutique Finca Lerida,Boquete,Boquete,Panama,Panama,Panama Provincial,Chiriqui,recoGtHDVwFuuBngg,"Existing - Caribbean, South and Central America.xls",312,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,262497,City Express Plus by Marriott Buenos Aires Palermo,Selina Palermo Soho,Buenos Aires,Buenos Aires,Argentina,Argentina,Buenos Aires,Buenos Aires North/Palermo/Recoleta,reclTRNrGugmsXbmg,"Existing - Caribbean, South and Central America.xls",348,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,317758,Howard Johnson by Wyndham Buenos Aires La Boca Undici,UNDICI Republica de la Boca by OWN,Buenos Aires,Buenos Aires,Argentina,Argentina,Buenos Aires,BA South/Puerto Madero/San Telmo,reckQygkkyIK9NZBT,"Existing - Caribbean, South and Central America.xls",370,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,135812,Wyndham Garden Campana,Wyndham Garden Capana,Campana,Campana,Argentina,Argentina,Argentina Provincial,Buenos Aires Provincial,rec8dHx2ZsLgkpkzn,"Existing - Caribbean, South and Central America.xls",432,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,135189,Aire de O:live,San Juan Water Beach Club Hotel,Carolina,Carolina,Puerto Rico,Puerto Rico,Puerto Rico,San Juan Area,recefJDQgCVXC9Y4e,"Existing - Caribbean, South and Central America.xls",468,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,262270,Grand Sirenis Cartagena,Karmairi Cartagena,Cartagena,Cartagena,Colombia,Colombia,Cartagena,Cartagena Surrounding & Morros,recBx0pgIteCbhuEK,"Existing - Caribbean, South and Central America.xls",491,no,yes
NAME_MISMATCH,Manual: different hotel name at same STR ID — verify same property,229957,Hotel Boutique Bovedas de Santa Clara,Sofitel Las Bovedas,Cartagena,Cartagena,Colombia,Colombia,Cartagena,Centro Historico,recUwZHVRH0GZFPIp,"Existing - Caribbean, South and Central America.xls",500,no,yes
