excelStrId,excelHotelName,winnerRecordId,winnerName,winnerScore,loserRecordId,loserName,loserScore,recommendedAction,sourceFile,rowNumber
285070,Hilton Garden Inn San Jose Airport City Mall,recvRQ6pgTaVqXr6y,Hilton Garden Inn San Jose Airport City Mall,90,recmnQNMFWsCvLlxc,Hilton Garden Inn San Jose Airport City Mall,80,Apply Excel to recvRQ6pgTaVqXr6y; archive or fix duplicate recmnQNMFWsCvLlxc,"Existing - Caribbean, South and Central America.xls",10
309822,TRYP by Wyndham Asuncion,recwP6bbct8WnGoO9,TRYP by Wyndham Asuncion,90,recJ1ldAGm0l6ASMV,Tryp by Wyndham Asuncion,80,Apply Excel to recwP6bbct8WnGoO9; archive or fix duplicate recJ1ldAGm0l6ASMV,"Existing - Caribbean, South and Central America.xls",74
289897,ibis Barra do Garcas,rechVhb1b1y95jqjv,ibis Barra do Garcas,90,rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,50,Apply Excel to rechVhb1b1y95jqjv; archive or fix duplicate rec02Fl5fQw6Pct3O,"Existing - Caribbean, South and Central America.xls",90
134262,The Westin Reserva Conchal an All-Inclusive Golf Resort & Spa,recdq02zLON5fwU3O,The Westin Reserva Conchal an All-Inclusive Golf Resort & Spa,90,rec1SSmWonlA2X3Wa,Westin Resort & Spa Playa Conchal,30,Apply Excel to recdq02zLON5fwU3O; archive or fix duplicate rec1SSmWonlA2X3Wa,"Existing - Caribbean, South and Central America.xls",330
295071,Wyndham Grand Barbados Sam Lords Castle All Inclusive Resort,reciSxVvRCZdsKUL0,Wyndham Grand Barbados Sam Lords Castle All Inclusive Resort,90,recdFb8apVqpSLcDo,Wyndham Grand Barbados Sam Lords Castle All Inclusive Resort,80,Apply Excel to reciSxVvRCZdsKUL0; archive or fix duplicate recdFb8apVqpSLcDo,"Existing - Caribbean, South and Central America.xls",335
302682,Casa Lucia Melia Collection,reczAWLZqnscRYtBp,Casa Lucia Melia Collection,90,recECPsrdmp3Ho5RH,Casa Lucia,80,Apply Excel to reczAWLZqnscRYtBp; archive or fix duplicate recECPsrdmp3Ho5RH,"Existing - Caribbean, South and Central America.xls",347
302765,Tru by Hilton Cali Sur,recXxX3Lpml1MSRic,Tru by Hilton Cali Sur,90,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,80,Apply Excel to recXxX3Lpml1MSRic; archive or fix duplicate recUCjevWreNAb1eW,"Existing - Caribbean, South and Central America.xls",426
304439,Casa Costera Isla Verde Apartments,recT5RR3hxZVa65ZZ,Casa Costera Isla Verde Apartments,90,recL5Rm2KGQPDtb2M,"Casa Costera, Isla Verde, Apartments",80,Apply Excel to recT5RR3hxZVa65ZZ; archive or fix duplicate recL5Rm2KGQPDtb2M,"Existing - Caribbean, South and Central America.xls",470
282504,Morningstar Buoy Haus Beach Resort at Frenchman's Reef Autograph Collection,reckVRiGmzHapZLPq,Morningstar Buoy Haus Beach Resort at Frenchman's Reef Autograph Collection,90,recciDhI77CeV4i8E,"Morningstar Buoy Haus Beach Resort at Frenchman's Reef, an Autograph Collection",50,Apply Excel to reckVRiGmzHapZLPq; archive or fix duplicate recciDhI77CeV4i8E,"Existing - Caribbean, South and Central America.xls",575
109291,Hotel On The Cay,recCLjx3u5oE8ozHX,Hotel On The Cay,90,rec8DwwKblxGs8I1s,Hotel On The Cay,80,Apply Excel to recCLjx3u5oE8ozHX; archive or fix duplicate rec8DwwKblxGs8I1s,"Existing - Caribbean, South and Central America.xls",608
309648,Kimpton Las Mercedes-Santo Domingo,recFBKS8okVLLiy3q,Kimpton Las Mercedes-Santo Domingo,90,recBo7N3KaFfQ4RY6,Kimpton Las Mercedes-Santo Domingo,80,Apply Excel to recFBKS8okVLLiy3q; archive or fix duplicate recBo7N3KaFfQ4RY6,"Existing - Caribbean, South and Central America.xls",624
108608,LionsDive Beach Resort Curacao,recl0VkActFj67zy2,LionsDive Beach Resort Curacao,90,recYjHjYBKfdQT008,LionsDive Beach Resort Curacao,80,Apply Excel to recl0VkActFj67zy2; archive or fix duplicate recYjHjYBKfdQT008,"Existing - Caribbean, South and Central America.xls",663
300979,Motto by Hilton Cusco,recdorwekj2x6vT8s,Motto by Hilton Cusco,90,recYNB1AtH9Ebd641,Motto by Hilton Cusco,80,Apply Excel to recdorwekj2x6vT8s; archive or fix duplicate recYNB1AtH9Ebd641,"Existing - Caribbean, South and Central America.xls",707
109076,El Conquistador Resort,recifX833u8mc7H4O,El Conquistador Resort,90,rec6xqJxoMshj5gMt,El Conquistador Resort,80,Apply Excel to recifX833u8mc7H4O; archive or fix duplicate rec6xqJxoMshj5gMt,"Existing - Caribbean, South and Central America.xls",745
293609,Hotel Indigo Grand Cayman,recL3YWf9gpYYeqYy,Hotel Indigo Grand Cayman,90,recJeG7kPhrmwjZRu,Hotel Indigo Grand Cayman,80,Apply Excel to recL3YWf9gpYYeqYy; archive or fix duplicate recJeG7kPhrmwjZRu,"Existing - Caribbean, South and Central America.xls",815
