action,recordId,strId,sourceFile,rowNumber,fieldsUpdated,notes
updated,recwfzeZxVwI7vfeU,189986,"Existing - Caribbean, South and Central America.xls:3",,Market; Submarket; city; country; name,"{""Market"":""Belize"",""Submarket"":""Belize"",""city"":""7th Ave"",""country"":""Belize"",""name"":""Hotel Maya""}"
updated,recd8QGmfZuCGYqwJ,144218,"Existing - Caribbean, South and Central America.xls:4",,Market; Submarket; city; country; name,"{""Market"":""Puerto Rico"",""Submarket"":""Puerto Rico Regional"",""city"":""Aguadilla"",""country"":""Puerto Rico"",""name"":""Courtyard by Marriott Aguadilla""}"
updated,rec4MOHJfc5TTP1hf,311662,"Existing - Caribbean, South and Central America.xls:5",,Market; Submarket; city; country; name,"{""Market"":""Panama Provincial"",""Submarket"":""Panama Regional"",""city"":""Aguadulce"",""country"":""Panama"",""name"":""Hotel Plaza Aguadulce""}"
updated,recphUjsID2abNkuk,215185,"Existing - Caribbean, South and Central America.xls:6",,Market; Submarket; city; country; name,"{""Market"":""Peru Provincial"",""Submarket"":""Peru Regional"",""city"":""Aguas Calientes"",""country"":""Peru"",""name"":""Casa Andina Standard Machu Picchu""}"
updated,recKzHn6I71YfCa36,282568,"Existing - Caribbean, South and Central America.xls:8",,Market; Submarket; city; country; name,"{""Market"":""Costa Rica"",""Submarket"":""Costa Rica Regional"",""city"":""Alajuela"",""country"":""Costa Rica"",""name"":""Fairfield by Marriott San Jose Airport Alajuela""}"
updated,recgDZkiRysKvgCMz,134187,"Existing - Caribbean, South and Central America.xls:9",,Market; Submarket; city; country; name,"{""Market"":""Costa Rica"",""Submarket"":""Costa Rica Regional"",""city"":""Alajuela"",""country"":""Costa Rica"",""name"":""Hampton by Hilton San Jose Airport""}"
updated,reclDHW5egge7kaoe,253286,"Existing - Caribbean, South and Central America.xls:12",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Colombia Regional"",""city"":""Albania"",""country"":""Colombia"",""name"":""Hotel Waya Guajira""}"
updated,recvWL7n6eErPL3Oy,222733,"Existing - Caribbean, South and Central America.xls:13",,Market; Submarket; city; country; name,"{""Market"":""Argentina Provincial"",""Submarket"":""Argentina North Provincial"",""city"":""Almafuerte"",""country"":""Argentina"",""name"":""Howard Johnson by Wyndham Piedras Moras""}"
updated,recImHTTGP2Ho0tN0,262715,"Existing - Caribbean, South and Central America.xls:16",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Americana"",""country"":""Brazil"",""name"":""ibis Americana""}"
updated,recmUIsMtSQstxOe5,268561,"Existing - Caribbean, South and Central America.xls:17",,Market; Submarket; city; country; name,"{""Market"":""Brazil Central & West"",""Submarket"":""Brazil Central & West Regional"",""city"":""Anapolis"",""country"":""Brazil"",""name"":""Radisson Hotel Anapolis""}"
updated,recCixLrjdKIjh7HT,135222,"Existing - Caribbean, South and Central America.xls:19",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""Rio de Janeiro State Regional"",""city"":""Angra Dos Reis"",""country"":""Brazil"",""name"":""Vila Gale Eco Resort De Angra""}"
updated,recZrCDDfjZ534c8v,109009,"Existing - Caribbean, South and Central America.xls:20",,Market; Submarket; city; country; name,"{""Market"":""Saint Barthélemy"",""Submarket"":""Saint Barthélemy"",""city"":""Anse de Toiny"",""country"":""Saint-Barthélemy"",""name"":""Hotel Le Toiny""}"
updated,recfHeOJmiUOMCoIG,303811,"Existing - Caribbean, South and Central America.xls:21",,Market; Submarket; city; country; name,"{""Market"":""Dominican Republic"",""Submarket"":""Dominican Republic Regional"",""city"":""Antes Montecristi"",""country"":""Dominican Republic"",""name"":""Wyndham Garden El Morro Montecristi""}"
updated,rec7BDo0I0ebLC0U3,142244,"Existing - Caribbean, South and Central America.xls:22",,Market; Submarket; city; country; name,"{""Market"":""El Salvador"",""Submarket"":""San Salvador"",""city"":""Antiguo Cuscatlan"",""country"":""El Salvador"",""name"":""Courtyard San Salvador""}"
updated,recns9k9Wnvl3gHNU,257754,"Existing - Caribbean, South and Central America.xls:23",,Market; Submarket; city; country; name,"{""Market"":""Chile Provincial"",""Submarket"":""Chile Regional"",""city"":""Antofagasta"",""country"":""Chile"",""name"":""Hampton by Hilton Antofagasta""}"
updated,recopm6ojnZwb0QOA,127874,"Existing - Caribbean, South and Central America.xls:24",,Market; Submarket; city; country; name,"{""Market"":""Chile Provincial"",""Submarket"":""Chile Regional"",""city"":""Antofagasta"",""country"":""Chile"",""name"":""Holiday Inn Express Antofagasta""}"
