excelStrId,excelHotelName,excelCity,excelCountry,excelStrMarket,excelStrSubmarket,recommendedAction,sourceFile,rowNumber
324026,Residence Inn by Marriott San Jose Alajuela el Coyol,Alajuela,Costa Rica,Costa Rica,Costa Rica Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",11
339571,Central Hotel Bocas del Toro,Almirante,Panama,Panama Provincial,Bocas del Toro,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",14
163462,Hotel La Compania del Valle,Anton,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",32
331618,Hotel Refugio Cariguana,Anton,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",33
332074,Casa Andina Standard Ayacucho,Ayacucho,Peru,Peru Provincial,Peru Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",77
331301,Radisson RED Ibirapuera,Bairro Moema,Brazil,São Paulo,Faria Lima/Ibirapuera/Itaim/Moema,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",80
323429,Royal Design Savassi,Belo Horizonte,Brazil,Brazil Southeast,Belo Horizonte,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",182
336111,Tranquilo Bay Eco Adventure Lodge,Bocas del Toro,Panama,Panama Provincial,Bocas del Toro,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",206
333874,Apartahotel Connect Bogota,Bogota,Colombia,Bogota,Bogota South & Avenida El Dorado,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",213
226147,DoubleTree By Hilton Bogota Calle 100,Bogota,Colombia,Bogota,Bogota North,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",226
326354,Four Points by Sheraton Bogota Tequendama,Bogota,Colombia,Bogota,Bogota South & Avenida El Dorado,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",238
322126,Hotel Coco Bogota,Bogota,Colombia,Bogota,Bogota CBD,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",263
321861,Liv Hotel Zona G,Bogota,Colombia,Bogota,Bogota CBD,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",280
319807,Almarena Puerto Retiro Affiliated by Melia,Buenos Aires,Argentina,Buenos Aires,Buenos Aires North/Palermo/Recoleta,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",342
207590,Recoleta Grand Buenos Aires a Tribute Portfolio Hotel,Buenos Aires,Argentina,Buenos Aires,Buenos Aires North/Palermo/Recoleta,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",399
326993,LRH Calama an Ascend Collection Hotel,Calama,Chile,Chile Provincial,Chile Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",412
332453,Wyndham Grand Costa Del Sol Lima Airport,Callao,Peru,Lima,San Isidro & Surroundings,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",429
334211,Bali POSH Hotel,Carolina,Puerto Rico,Puerto Rico,San Juan Area,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",469
334313,Faranda Collection Cartagena a member of Radisson Individuals,Cartagena,Colombia,Cartagena,Cartagena Surrounding & Morros,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",487
109088,Secrets St. Lucia Resort & Spa,Choc Bay,Saint Lucia,St Lucia,St Lucia,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",587
322173,The Strand,Cooper Jack Bay,Turks and Caicos Islands,Turks & Caicos Islands,Turks & Caicos Islands,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",634
322129,NAIO Hotel & Villas,Dibulla,Colombia,Colombia Provincial,Colombia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",725
328329,Drake Bay Getaway,Drake Bay,Costa Rica,Costa Rica,Costa Rica Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",731
321984,B&B Hotel Fort-de-France,Fort-de-France,Martinique,Martinique,Martinique,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",762
320348,Hotel Indigo Turks & Caicos Grace Bay,Grace City,Turks and Caicos Islands,Turks & Caicos Islands,Turks & Caicos Islands,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",807
336317,Gran Pacifica Beach & Golf Resort,Gran Pacifica,Nicaragua,Nicaragua,Nicaragua,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",811
333680,Camino Real Antigua,Guatemala City,Guatemala,Guatemala,Guatemala Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",845
323516,Explora Lodge Machu Picchu & Sacred Valley,Huayllabamba,Peru,Peru Provincial,Peru Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",886
322666,Hotel Las Dunas,Ica,Peru,Peru Provincial,Peru Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",891
331527,Keyonna Beach Antigua,Johnson`s Point,Antigua and Barbuda,Antigua/Barbuda,Antigua/Barbuda,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",943
329361,Days Inn by Wyndham Juan Dolio,Juan Dolio,Dominican Republic,Dominican Republic,Dominican Republic Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",951
328615,The Royal Corin Thermal Water Spa & Resort,La Fortuna,Costa Rica,Costa Rica,Costa Rica Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",969
268422,Howard Johnson by Wyndham Lima Miraflores Art House,Lima,Peru,Lima,Miraflores,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1025
333006,Hotel Vinas Queirolo,Los Molinos,Peru,Peru Provincial,Peru Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1057
331612,Ibis Styles Macae,Macae,Brazil,Brazil Southeast,Rio de Janeiro State Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1068
331457,Ramada Suites by Wyndham Asuncion Aeropuerto,Mariano Roque Alonso,Paraguay,Paraguay,Paraguay,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1120
333927,Calle Flora Hotel,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1136
326520,Hashtag 98,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1148
326521,Heiss Hotel,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1149
333929,Hunters,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1157
340296,Lomm by Somos the Group,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1163
333303,The O by Seekers Medellin,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1171
334266,The Somos Bold Hotel,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1173
334268,The Somos Central Hotel Poblado,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1174
330044,Wake BioHotel,Medellin,Colombia,Colombia Provincial,Medellín,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1178
323935,nhow Lima,Miraflores,Peru,Lima,Miraflores,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1200
331070,The Mill Resort,Noord,Aruba,Aruba,Aruba,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1278
322967,Privada Stays,Oranjestad,Aruba,Aruba,Aruba,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1297
329733,Tru by Hilton Distrito Palmerola,Palmerola,Honduras,Honduras,Honduras,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1320
331819,Central Park Hotel Casino,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1329
336454,Dovle Branded Residences,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1335
338173,Hotel Bardot Boutique,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1343
120781,Hyatt Regency Panama City,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1350
338169,Magnolia Inn,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1356
323635,Radisson Riviera Panama,Panama,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1366
122228,Renaissance Panama City Hotel,Panama,Panama,Panama City,Panama City,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1369
333090,Hotel Posada Los Destiladeros,Pedasi,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1408
331679,Pedasi Sports Club,Pedasi,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1409
337696,Wyndham Natal Pitangui Praia,Pitangui,Brazil,Brazil Northeast,Brazil Northeast Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1432
319593,Ramada Encore by Wyndham Ponta Grossa,Ponta Grossa,Brazil,Brazil South,Brazil South Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1458
334167,Hotel Isla Grande,Portobelo,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1488
331742,Comfort Hotel Presidente Prudente,Presidente Prudente,Brazil,Brazil Southeast,São Paulo State Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1495
336969,Ramada Residences by Wyndham Puerto Madryn CQ,Puerto Madryn,Argentina,Argentina Provincial,Patagonia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1533
336901,Ramada Residences by Wyndham Puerto Madryn CQ Mitre,Puerto Madryn,Argentina,Argentina Provincial,Patagonia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1534
336902,Ramada Residences Puerto Madryn CQ Gales,Puerto Madryn,Argentina,Argentina Provincial,Patagonia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1535
186006,Zel Punta Cana - All Suites,Punta Cana,Dominican Republic,Dominican Republic,Dominican Republic Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1597
321764,Courtyard by Marriott Quito Airport,Quito,Ecuador,Ecuador,Quito,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1610
272979,OYO Pousada do Wagner Rio das Ostras,Rio de Janeiro,Brazil,Brazil Southeast,Rio de Janeiro State Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1697
108533,Peter Island Resort,Road Town,British Virgin Islands,British Virgin Islands,British Virgin Islands,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1724
321810,Silversands Beach House Grenada,Saint George's,Grenada,Grenada,Grenada,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1743
332584,Hotel Azura Samara,Samara,Costa Rica,Costa Rica,Guanacaste Area,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1766
327180,Bolontiku Hotel Boutique,San Andres,Guatemala,Guatemala,Guatemala Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1768
322128,Grand Sirenis San Andres,San Andres,Colombia,Colombia Provincial,Colombia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1775
330867,Radisson Blu Bariloche,San Carlos de Bariloche,Argentina,Argentina Provincial,Patagonia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1782
336047,Casa Botanica Hotel,San Juan,Puerto Rico,Puerto Rico,San Juan Area,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1838
326301,Somos Hotel,San Juan,Puerto Rico,Puerto Rico,San Juan Area,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1858
335570,Awasi Atacama,San Pedro De Atacama,Chile,Chile Provincial,Chile Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1899
294455,Tierra Atacama,San Pedro de Atacama,Chile,Chile Provincial,Chile Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1902
330787,City Centro by Marriott San Salvador,San Salvador,El Salvador,El Salvador,San Salvador,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1912
322130,Hotel Porto Horizonte Pozos Colorados,Santa Marta,Colombia,Colombia Provincial,Santa Marta,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1945
334770,Hotel Plaza,Santiago,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1970
331565,Hotel Plaza Corotu,Santiago,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",1971
336967,Days Inn by Wyndham Sierra de la Ventana,Sierra De La Ventana,Argentina,Argentina Provincial,Buenos Aires Provincial,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2214
331818,Catalina's Hideaway,Sona,Panama,Panama Provincial,Panama Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2225
337733,Select Sosua Adults Only Trademark by Wyndham All Inclusive,Sosua,Dominican Republic,Dominican Republic,Dominican Republic Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2234
289927,Salterra a Luxury Collection Resort & Spa Turks & Caicos,South Caicos,Turks and Caicos Islands,Turks & Caicos Islands,Turks & Caicos Islands,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2240
108485,Colony Club a Luxury Collection Resort Barbados,St James,Barbados,Barbados,Barbados,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2253
290561,Soho Beach House Canouan,St. Vincent and the Grenadine,Saint Vincent and the Grenadines,St Vincent/The Grenadines,St Vincent/The Grenadines,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2275
334259,Neusa Hills Eco Hotel,Tausa,Colombia,Colombia Provincial,Colombia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2293
332148,Comfort Inn Tegucigalpa,Tegucigalpa,Honduras,Honduras,Honduras,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2295
331531,Los Brezos Boutique Hotel,Tierras Altas,Panama,Panama Provincial,Chiriqui,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2310
335409,City Centro By Marriott Ushuaia Argentina,Ushuaia,Argentina,Argentina Provincial,Patagonia Regional,Create new Hotel Census row or add STR Number to existing property if found manually,"Existing - Caribbean, South and Central America.xls",2349
166812,Banyan Tree Cabo Marques,Acapulco,Mexico,Pacific Central,Acapulco,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,3
107829,Fiesta Americana Acapulco Villas,Acapulco,Mexico,Pacific Central,Acapulco,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,7
107812,Park Royal Beach Acapulco,Acapulco,Mexico,Pacific Central,Acapulco,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,13
333460,Hotel La Joya del Lago,Ajijic,Mexico,Pacific Central,Pacific Central Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,36
333210,Capital O Hotel Rolovi Cancun,Cancun,Mexico,Cancun,Cancun Downtown/Airport,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,120
338755,Hive Cancun,Cancun,Mexico,Cancun,Cancun Downtown/Airport,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,148
107921,Melia Casa Maya - Cancun - All Inclusive,Cancun,Mexico,Cancun,Cancun Coast,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,163
273135,Capital O Gran Hotel Campestre,Celaya,Mexico,Mexico Central/Bajio,Celaya,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,184
333519,Capital O Hotel Diez,Celaya,Mexico,Mexico Central/Bajio,Celaya,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,186
333456,OYO Hotel Colibri,Chetumal,Mexico,Mexican Caribbean,Mexican Caribbean Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,200
333530,OYO Posada AstrudCuetzalan,Ciudad de Cuetzalan,Mexico,Mexico Central South,Mexico Central South Regional,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,227
322254,Casa Cibeles,Ciudad De Mexico,Mexico,Mexico City,Mexico City South & Historic District,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,231
313652,Crisol Suites Condesa,Ciudad De Mexico,Mexico,Mexico City,Mexico City South & Historic District,Create new Hotel Census row or add STR Number to existing property if found manually,Existing - Mexico.xls,232
