censusRecordId,censusName,censusCity,censusCountry,directoryHotelName,directoryCity,directoryCountry,propertyUrl,propertyId,matchScore,matchConfidence,matchReason,nameSim,distanceMeters,recommendedAction
rec06JsVpHaQ3xzOW,Wyndham Alltra Playa del Carmen Adults Only All Inclusive,Playa Del Carmen,Mexico,Wyndham Alltra Playa del Carmen Adults Only All Inclusive,Playa del Carmen,Mexico,https://www.wyndhamhotels.com/wyndham-alltra/playa-del-carmen-mexico/wyndham-alltra-playa-del-carmen-adults-only-all-inclusive/overview,WYNDHAM-ALLTRA-PLAYA,100,high,Website host + name similarity; website host match,1,135,manual_verify_before_apply
rec2RN8C6ITLhqlmz,"Viva Azteca by Wyndham, A Trademark All Inclusive Resort",Playa Del Carmen,Mexico,"Viva Azteca by Wyndham, A Trademark All Inclusive Resort",Playa del Carmen,Mexico,https://www.wyndhamhotels.com/trademark/playa-del-carmen-mexico/viva-azteca-a-trademark-all-inclusive-resort/overview,VIVA-AZTECA-A-TRADEM,100,high,Website host + name similarity; website host match,1,84,manual_verify_before_apply
rec2TKlMhwraaTSDJ,Dazzler by Wyndham Buenos Aires Maipu,Buenos Aires,Argentina,Dazzler by Wyndham Buenos Aires Maipu,Buenos Aires,Argentina,https://www.wyndhamhotels.com/dazzler/buenos-aires-argentina/dazzler-maipu/overview,DAZZLER-MAIPU,100,high,Website host + name similarity; website host match,1,9,manual_verify_before_apply
rec3dQakSwXLVZv2h,Wyndham Santiago Aeropuerto,Santiago,Chile,Wyndham Santiago Aeropuerto,Santiago,Chile,https://www.wyndhamhotels.com/wyndham/santiago-chile/wyndham-santiago-aeropuerto/overview,WYNDHAM-SANTIAGO-AER,100,high,Website host + name similarity; website host match,1,68,manual_verify_before_apply
rec5J5YlUK6lvkAhV,La Quinta by Wyndham Quito,Quito,Ecuador,La Quinta by Wyndham Quito,Quito,Ecuador,https://www.wyndhamhotels.com/laquinta/quito-ecuador/la-quinta-quito/overview,LA-QUINTA-QUITO,100,high,Website host + name similarity; website host match,1,230,manual_verify_before_apply
rec5K8EARkAC4OR90,Dazzler by Wyndham Buenos Aires Polo,Buenos Aires,Argentina,Dazzler by Wyndham Buenos Aires Polo,Buenos Aires,Argentina,https://www.wyndhamhotels.com/dazzler/buenos-aires-argentina/dazzler-polo-hotel-buenos-aires/overview,DAZZLER-POLO-HOTEL-B,100,high,Website host + name similarity; website host match,1,24,manual_verify_before_apply
rec5bSvN61lCroJYH,Ramada Encore by Wyndham Guadalajara Aeropuerto,El Salto,Mexico,Ramada Encore by Wyndham Guadalajara Aeropuerto,Guadalajara,Mexico,https://www.wyndhamhotels.com/ramada/guadalajara-mexico/ramada-encore-guadalajara-aeropuerto/overview,RAMADA-ENCORE-GUADAL,100,high,Website host + name similarity; website host match,1,64,manual_verify_before_apply
rec5w1mZodF17dHV2,Esplendor by Wyndham Montevideo Cervantes,Montevideo,Uruguay,Esplendor by Wyndham Montevideo Cervantes,Montevideo,Uruguay,https://www.wyndhamhotels.com/esplendor/montevideo-uruguay/esplendor-hotel-cervantes/overview,ESPLENDOR-HOTEL-CERV,100,high,Website host + name similarity; website host match,1,41,manual_verify_before_apply
rec6H1qv7BGYauUkf,Wyndham Garden Santiago Kennedy,Santiago,Chile,Wyndham Garden Santiago Kennedy,Santiago,Chile,https://www.wyndhamhotels.com/wyndham-garden/santiago-chile/wyndham-garden-santiago-kennedy/overview,WYNDHAM-GARDEN-SANTI,100,high,Website host + name similarity; website host match,1,11,manual_verify_before_apply
rec8K2Zw0QEWqDYlf,Wyndham Sao Paulo Paulista,Sao Paulo,Brazil,Wyndham Sao Paulo Paulista,Sao Paulo,Brazil,https://www.wyndhamhotels.com/wyndham/sao-paulo-brazil/wyndham-sao-paulo-paulista/overview,WYNDHAM-SAO-PAULO-PA,100,high,Website host + name similarity; website host match,1,67,manual_verify_before_apply
