censusRecordId,censusName,affiliation,reason,matchScore,propertyUrl
rec0WzjFxqPddu9Mw,TRYP by Wyndham Manaus,Tryp by Wyndham,no_directory_match,,
rec0ii2rB7cgaAE6s,Esplendor Bavaro,Esplendor,no_directory_match,,
rec0tquO6GDwBv6Ke,Ramada Ushuaia,Ramada,no_directory_match,,
rec13zSeRW0mlRmxi,Costa Del Sol Wyndham Hotel Cajamarca,Wyndham,no_directory_match,,
rec1AwIZEZjuNkEbs,TRYP by Wyndham Ribeirao Preto,Tryp by Wyndham,no_directory_match,,
rec1Y2Pr88guyIBVX,Days Inn Juan Dolio Beach,Days Inn,no_directory_match,,
rec1eeUkiT9kcZCF8,Wyndham Executivo Culiacan,Wyndham,no_directory_match,,
rec1famkAFz2yyQ3a,Super 8 Boca Chica,Super 8,no_directory_match,,
rec1lXpKHrOxexiOx,Wyndham Torreon,Wyndham,no_directory_match,,
rec1tgQsiL073JhgB,Ramada by Wyndham Jaguaruna,Ramada,no_directory_match,,
rec2NsEazsgZfiuVF,Wyndham Garden Barranquilla,Wyndham Garden,no_directory_match,,
rec2b9MREo000mpFV,Registry Collection Hotels Foz do Iguaçu,Registry Collection Hotels,no_directory_match,,
rec31Rj4YOFNk7k8D,Wyndham Hotels and Resorts Atibaia,Wyndham,no_directory_match,,
rec41Hc9E5qXEbh43,Ramada by Wyndham Campos dos Goytacazes Hotel & Suites,Ramada,no_directory_match,,
rec41jO1OjBiDS5R6,Esplendor by Wyndham Salta,Esplendor,no_directory_match,,
rec48IlNhWa07yiBi,Howard Johnson by Wyndham Rosario,Howard Johnson,no_directory_match,,
rec4K1A1KJuN1WYWh,Howard Johnson by Wyndham Trenque Lauquen,Howard Johnson,no_directory_match,,
rec4Q0o4ATRgPNg28,Esplendor by Wyndham Savoy Rosario,Esplendor,no_directory_match,,
rec4Wj3k5Rob4G9NH,Super 8 by Wyndham Pedernales,Super 8,no_directory_match,,
rec4Z9PAB6QaW7pYw,TRYP by Wyndham Varginha Cafe Royal,Tryp by Wyndham,no_directory_match,,
rec5AtzxWRBrZpJPk,"Tryp by Wyndham Guzman, Jalisco",Tryp by Wyndham,no_directory_match,,
rec5J8UWyOKbabs0S,Esplendor by Wyndham El Calafate,Esplendor,no_directory_match,,
rec5q70SPg2fcLJXz,Howard Johnson by Wyndham Rio Ceballos,Howard Johnson,no_directory_match,,
rec5tO6xcuuRUK8z3,Viva Wyndham Dominicus Palace,Wyndham,no_directory_match,,
rec5w83E8540xou5f,Days Inn by Wyndham Dolores Hotel Termal,Days Inn,no_directory_match,,
rec5wmmrmkEZYx9xh,Howard Johnson Hotel & Convention Center Ezeiza,Howard Johnson,no_directory_match,,
rec5xr5EggwnBV0oV,Wyndham Grand Everest,Wyndham Grand,no_directory_match,,
rec6JyqgDUj6gzPWi,Wyndham Costa Del Sol Arequipa,Wyndham,no_directory_match,,
rec7LhfYvWY5ULIBz,Tryp Sao Paula,Tryp by Wyndham,no_directory_match,,
rec7XZgLLZO6npaN5,Howard Johnson by Wyndham Villa Maria Casino,Howard Johnson,no_directory_match,,
rec7cnazyTDMN2U9U,Days Inn by Wyndham Linhares,Days Inn,no_directory_match,,
rec7tk8shDrpiKwJr,Super 8 Samana,Super 8,no_directory_match,,
